entry,exit,period,cap,atr,regime,n,trades_per_year,excess,z,win,unit,per_trade_pct
STRUCTURE,bracket +3/−4 20b,in-sample,2B-5B,3-5,all,488,672,0.436,3.8,0.617,ATR,1.66
STRUCTURE,bracket +3/−4 20b,in-sample,2B-5B,3-5,bull,290,400,0.212,1.5,0.61,ATR,0.82
STRUCTURE,bracket +3/−4 20b,in-sample,2B-5B,3-5,bear,198,273,0.764,4.1,0.626,ATR,2.88
STRUCTURE,bracket +3/−4 20b,in-sample,2B-5B,5-8,all,223,307,0.235,1.5,0.574,ATR,1.33
STRUCTURE,bracket +3/−4 20b,in-sample,>5B,all,all,2432,3351,0.633,12.6,0.66,ATR,2.08
STRUCTURE,bracket +3/−4 20b,in-sample,>5B,all,bull,1370,1888,0.592,9.6,0.691,ATR,1.74
STRUCTURE,bracket +3/−4 20b,in-sample,>5B,all,bear,1062,1463,0.686,8.2,0.621,ATR,2.51
STRUCTURE,bracket +3/−4 20b,in-sample,>5B,<3,all,1257,1732,0.711,10.0,0.668,ATR,1.78
STRUCTURE,bracket +3/−4 20b,in-sample,>5B,<3,bull,805,1109,0.679,8.2,0.696,ATR,1.68
STRUCTURE,bracket +3/−4 20b,in-sample,>5B,<3,bear,452,623,0.768,5.8,0.619,ATR,1.96
STRUCTURE,bracket +3/−4 20b,in-sample,>5B,3-5,all,819,1128,0.685,8.1,0.676,ATR,2.49
STRUCTURE,bracket +3/−4 20b,in-sample,>5B,3-5,bull,405,558,0.626,5.7,0.721,ATR,2.32
STRUCTURE,bracket +3/−4 20b,in-sample,>5B,3-5,bear,414,570,0.742,5.8,0.633,ATR,2.65
STRUCTURE,bracket +3/−4 20b,in-sample,>5B,5-8,all,245,338,0.197,1.2,0.596,ATR,1.01
STRUCTURE,bracket +3/−4 20b,holdout,all,all,all,1430,5307,0.08,1.2,0.559,ATR,0.11
STRUCTURE,bracket +3/−4 20b,holdout,all,all,bull,1265,4695,0.261,3.9,0.584,ATR,0.75
STRUCTURE,bracket +3/−4 20b,holdout,all,all,bear,165,612,-1.313,-6.0,0.364,ATR,-4.81
STRUCTURE,bracket +3/−4 20b,holdout,all,<3,all,540,2004,0.397,3.6,0.607,ATR,0.85
STRUCTURE,bracket +3/−4 20b,holdout,all,<3,bull,498,1848,0.508,4.6,0.618,ATR,1.2
STRUCTURE,bracket +3/−4 20b,holdout,all,3-5,all,528,1960,-0.17,-1.5,0.517,ATR,-0.54
STRUCTURE,bracket +3/−4 20b,holdout,all,3-5,bull,442,1640,0.173,1.5,0.57,ATR,0.64
