tier,f,N,sample,final,cagr,max_dd,taken,signalled,per_week,avg_open,skip_no_slot,skip_held,skip_no_headroom,skip_atr_zero,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y2026
C,0.01,20,full,4698928.178588875,0.4698349644341122,0.6860953724281842,444,31629,0.8512736236647495,6.5966587112171835,0,616,30569,0,0.08203261385386607,1.5089445330278308,-0.0778219079309399,0.19294320974393098,4.024221749305273,0.5241320157787739,-0.2802136677537641,-0.19748334083532892,0.7554777896747347,0.2541795302130483,0.6155810140946378
C,0.01,20,oos,341640.7032720747,0.5734568864123251,0.676902572692778,142,9284,1.004040404040404,7.353891336270191,0,204,8938,0,,,,,,,,,2.4418539940712725,0.17937287971245697,-0.15836065991631387
C,0.02,5,full,1314216.2372648113,0.29393554376104025,0.6496305881597397,325,31629,0.6231169542591071,4.751789976133652,26217,390,4697,0,0.13406953986084869,1.2703786465893727,-0.305260986588221,0.1826689517602631,0.56413449309566,-0.10153564621008193,-0.2117026721981602,1.0839523263812656,0.7138777958541989,-0.030474129511023573,0.6193917894968064
C,0.02,5,oos,200396.37378896822,0.29234676928660397,0.5984751084650419,103,9284,0.7282828282828283,4.812041116005874,7544,121,1516,0,,,,,,,,,0.9010889151320531,-0.0628858331537605,0.12485081072548354
C,0.02,10,full,4585690.51313276,0.46625238756080667,0.6465862728829272,343,31629,0.6576280471103807,5.18933969769292,158,467,30661,0,0.13406953986084869,1.2898346636433078,-0.35160188701850725,0.1550145776242482,4.040148478112988,-0.10862801412020384,-0.2189723470267595,0.1477993019334667,1.8039058604768052,0.7117573738229137,0.21980780440436742
C,0.02,10,oos,312781.0107231865,0.5230483314146153,0.6563948428486751,111,9284,0.7848484848484849,5.400881057268722,67,131,8975,0,,,,,,,,,2.0095841700298145,-0.14799514200266606,0.21980894497519232
C,0.02,20,full,4585690.51313276,0.46625238756080667,0.6465862728829272,343,31629,0.6576280471103807,5.18933969769292,0,467,30819,0,0.13406953986084869,1.2898346636433078,-0.35160188701850725,0.1550145776242482,4.040148478112988,-0.10862801412020384,-0.2189723470267595,0.1477993019334667,1.8039058604768052,0.7117573738229137,0.21980780440436742
C,0.02,20,oos,148529.4182935749,0.15714662314527494,0.7798028751439999,112,9284,0.791919191919192,5.2055800293685754,0,112,9060,0,,,,,,,,,1.8193021975500758,-0.5279130193624493,0.11596051033866495
D,0.005,5,full,200840.6422156657,0.07225382138919478,0.43521584270610103,337,18543,0.6461243494932896,4.911296738265712,17990,211,5,0,0.06369587936490984,0.21136151514543444,0.02872451220218397,0.22321204179182685,0.2809972335410369,0.019427672701911813,-0.21604675428431108,0.05044170651383051,-0.055726777034069475,-0.12563967158011868,0.3950978459355292
D,0.005,5,oos,126026.29129638967,0.08909077147153743,0.267498347418603,101,5493,0.7141414141414142,4.972099853157122,5336,56,0,0,,,,,,,,,0.03315635159157959,-0.12563968494227606,0.39509784593552877
D,0.005,10,full,1488140.9307488105,0.31012454706464654,0.4600381244088978,516,18543,0.9893179950698439,8.219172633253779,7246,347,10434,0,0.04135754487377974,0.896910108564515,-0.19665456010735394,0.3509369966664382,0.7159388231212076,0.5226172908653985,-0.2788323216410662,0.5748550164513819,0.8149967213244211,-0.12548835600350494,0.4738360794757157
D,0.005,10,oos,179403.44479098366,0.24064683893865157,0.41224669836779837,170,5493,1.2020202020202022,8.810572687224669,2811,98,2414,0,,,,,,,,,0.3820408585841435,0.08928125198343806,0.19170803143030812
D,0.005,20,full,3101895.941696239,0.41001588515136445,0.5653127822662727,611,18543,1.1714598740071214,9.638822593476531,617,453,16862,0,0.04135754487377974,0.896910108564515,-0.19665456010735394,0.3509369966664382,1.4620970421923087,0.23609024105207754,-0.32618785579936294,1.1299684764625444,1.163514887506469,0.0846236132571494,0.4116820101621015
D,0.005,20,oos,323444.4078371961,0.5420028370028374,0.5628476831543301,204,5493,1.4424242424242426,10.615271659324522,54,128,5107,0,,,,,,,,,1.6590388369617854,-0.034983217985788406,0.26049201941584
D,0.01,5,full,268314.25589583575,0.10377863998367554,0.6014139335350863,343,18543,0.6576280471103807,4.832537788385044,17157,199,844,0,0.08911893934567616,0.20448504792621192,0.1997070208680023,0.3219267898592131,0.7182408883859548,0.1787275741316674,-0.3449977642329838,0.09652645912849711,-0.025874240355195255,-0.1193390119613057,0.03347801681372342
D,0.01,5,oos,131180.19219715366,0.10531546240225298,0.3179211159118852,99,5493,0.7000000000000001,4.926578560939794,5237,43,114,0,,,,,,,,,-0.08545335241641039,0.11281846669022366,0.28895595354251924
D,0.01,10,full,1076008.2542992188,0.268305722782344,0.6045071763503035,381,18543,0.7304847986852917,5.9964200477326965,977,278,16907,0,0.08203261385386607,1.2133784669230248,-0.1994348515142388,0.35916078864743084,1.4196616323467572,0.35005521704701614,-0.4007954868579018,0.18152713628994577,1.0615666262495158,-0.2199122518653488,0.11016179308779317
D,0.01,10,oos,117928.10295905755,0.06272879431317113,0.5402486304855998,122,5493,0.8626262626262627,6.34654919236417,195,72,5104,0,,,,,,,,,0.07780151729927098,0.0822155392018118,0.011031661447902241
D,0.01,20,full,3650199.3549543372,0.4331638519176426,0.6494947829976897,383,18543,0.7343193645576555,6.215592680986476,0,300,17860,0,0.08203261385386607,1.2133784669230248,-0.1994348515142388,0.35916078864743084,2.8908730158359885,1.0180069319680398,-0.39259798346777497,0.2962254623239393,1.046721261956018,-0.2708618209646848,0.5183014496577454
D,0.01,20,oos,173424.2129344415,0.22522824415788767,0.511796168951591,120,5493,0.8484848484848485,6.4449339207048455,0,77,5296,0,,,,,,,,,0.07780151729927098,0.0042208492153270605,0.6022921602377367
D,0.02,5,full,999113.5478267764,0.2589328141720293,0.49342091339223093,317,18543,0.6077786907696522,4.720763723150358,15337,193,2696,0,0.13406953986084869,0.29811124088224594,-0.03476563446270542,0.2328096630468206,1.676940643334036,0.02684062598957837,-0.15378922078553303,0.764504558297538,0.21450808651762987,-0.18413571247102334,0.40240350833127425
D,0.02,5,oos,82183.76600233284,-0.0698323897054055,0.6125866841307256,99,5493,0.7000000000000001,4.706314243759178,4171,39,1184,0,,,,,,,,,-0.35395898947996574,-0.09290466994861857,0.402403605695284
D,0.02,10,full,488601.34877001,0.1719896370861811,0.6573640693816051,333,18543,0.6384552177485621,4.911694510739856,159,219,17832,0,0.13406953986084869,0.33141310300405213,-0.08014595821169823,0.3731416726003465,1.5192760923837385,0.6924060373985732,-0.11736959748902065,0.01388316769517206,0.5802703695722171,-0.38127498865582354,-0.3132610436772296
D,0.02,10,oos,95892.05739912375,-0.015356774995555877,0.6638737775693908,102,5493,0.7212121212121213,4.857562408223201,0,51,5340,0,,,,,,,,,-0.3404510292813694,0.0457456000974068,0.3903032685038117
D,0.02,20,full,488601.34877001,0.1719896370861811,0.6573640693816051,333,18543,0.6384552177485621,4.911694510739856,0,219,17991,0,0.13406953986084869,0.33141310300405213,-0.08014595821169823,0.3731416726003465,1.5192760923837385,0.6924060373985732,-0.11736959748902065,0.01388316769517206,0.5802703695722171,-0.38127498865582354,-0.3132610436772296
D,0.02,20,oos,95892.05739912375,-0.015356774995555877,0.6638737775693908,102,5493,0.7212121212121213,4.857562408223201,0,51,5340,0,,,,,,,,,-0.3404510292813694,0.0457456000974068,0.3903032685038117
E,0.005,5,full,336443.4892276808,0.12904918300300072,0.34209355745047776,327,16528,0.6269515201314708,4.889021479713604,16027,172,2,0,0.051027394391387704,0.10519330933376536,-0.05705324528985034,0.1870960833187838,0.6191729821741534,-0.0371415573966426,-0.18109361176443928,0.28256740147720794,0.3631973795288328,0.06982738763622098,0.08353813593753201
E,0.005,5,oos,215845.92969287277,0.32824697175339246,0.277219436515735,96,4916,0.6787878787878788,4.955947136563877,4768,52,0,0,,,,,,,,,0.39740699396386603,0.07407016250554044,0.43809739206301823
E,0.005,10,full,1719048.4017751366,0.32916703547847637,0.39618919843340006,495,16528,0.9490550534100247,8.027048528241846,6385,303,9345,0,0.03716772710624072,0.9253274309682915,-0.23939285361838525,0.29974527646273486,1.149880508903462,0.6199995669153311,-0.16358394301168944,0.39911647435637465,0.18757763373539382,0.38279826943777184,0.30103677573421983
E,0.005,10,oos,373746.97782459814,0.6264715301718553,0.3296775186764196,166,4916,1.1737373737373737,8.939794419970632,2971,104,1675,0,,,,,,,,,0.6357919824385876,0.15591396052601736,0.976624187345539
E,0.005,20,full,3082651.913768354,0.40913830532106155,0.3577266031841705,554,16528,1.0621747466447549,9.108989657915672,177,356,15441,0,0.03716772710624072,0.9293175267262543,-0.19485644494570098,0.3276130815449263,1.3108465798902569,0.08277411373597898,-0.09408371722660924,0.8780545958548163,0.33455184808421135,0.8103987848102536,0.4012382468915441
E,0.005,20,oos,627621.6820350473,0.9692560752484145,0.5725965099820698,197,4916,1.3929292929292931,10.748898678414097,25,110,4584,0,,,,,,,,,2.3980729666403398,0.09596313831141923,0.6852692281399042
E,0.01,5,full,1028555.9856895218,0.26259591711431796,0.462252680946008,318,16528,0.6096959737058341,4.81225139220366,15296,164,750,0,0.09451275308933016,1.0094832360490011,-0.28628587130435523,0.167287219749906,1.2345498865223128,0.0804846286207479,-0.2293577477712594,0.8184297856463452,-0.007679883975413526,0.1446806035400796,0.460584130656049
E,0.01,5,oos,195782.10079842608,0.28128737822539973,0.32064406857374395,93,4916,0.6575757575757576,4.91776798825257,4672,41,110,0,,,,,,,,,0.10693715588761332,0.21094342059562998,0.4605827494925303
E,0.01,10,full,1788067.090163717,0.3344116802168813,0.4732410026204966,377,16528,0.7228156669405642,5.799920445505171,1004,201,14946,0,0.0855302370375346,1.3864379329072052,-0.018318368872818014,0.0988320562702556,1.6624543171800181,0.414835356922971,-0.2530337627619528,1.2188283682547967,-0.10523747059282207,-0.06659456020261645,0.22715349502796056
E,0.01,10,oos,240680.89866669095,0.3827027981999198,0.6595906054697338,132,4916,0.9333333333333335,6.179148311306902,326,67,4391,0,,,,,,,,,2.0766012556609197,-0.13454649691003595,-0.09608691908331157
E,0.01,20,full,4602569.345264119,0.4667914096314427,0.6005459062908421,381,16528,0.7304847986852917,5.914478918058871,0,216,15931,0,0.0855302370375346,1.3864379329072052,-0.018318368872818014,0.0988320562702556,1.6624543171800181,0.5736888642896472,-0.24854342056348944,1.34425621954877,1.0036824229102308,-0.13463854837033173,0.2869742224195513
E,0.01,20,oos,337383.5865949114,0.5661946290526381,0.6211208290785328,129,4916,0.9121212121212122,6.411160058737151,0,72,4715,0,,,,,,,,,2.1653803863352694,-0.17181340742077256,0.28697422241955106
