entry,quality,target_atr,stop_atr,max_bars,trades,win,exp_atr,exp_pct_approx,oos_trades,oos_win,oos_exp_atr
next open,fresh,3.0,2.0,5,1824,0.511,0.163,0.92,839,0.483,0.081
next open,fresh,3.0,2.0,10,1824,0.508,0.266,1.5,839,0.468,0.164
next open,fresh,3.0,2.0,20,1824,0.48,0.323,1.82,839,0.456,0.211
next open,fresh,3.0,3.0,5,1824,0.524,0.17,0.96,839,0.501,0.087
next open,fresh,3.0,3.0,10,1824,0.543,0.278,1.56,839,0.509,0.175
next open,fresh,3.0,3.0,20,1824,0.557,0.407,2.29,839,0.549,0.344
next open,fresh,3.0,4.0,5,1824,0.525,0.161,0.91,839,0.502,0.075
next open,fresh,3.0,4.0,10,1824,0.546,0.265,1.49,839,0.514,0.157
next open,fresh,3.0,4.0,20,1824,0.577,0.421,2.37,839,0.574,0.389
next open,fresh,half@1,1.5,20,1824,0.577,0.163,0.92,839,0.563,0.089
next open,fresh + ≥6 panels,0.5,1.0,5,1492,0.644,-0.026,-0.15,703,0.626,-0.054
next open,fresh + ≥6 panels,0.5,1.0,10,1492,0.651,-0.022,-0.12,703,0.632,-0.051
next open,fresh + ≥6 panels,0.5,1.0,20,1492,0.653,-0.021,-0.12,703,0.633,-0.05
next open,fresh + ≥6 panels,0.5,1.5,5,1492,0.723,0.005,0.03,703,0.71,-0.024
next open,fresh + ≥6 panels,0.5,1.5,10,1492,0.749,0.002,0.01,703,0.737,-0.024
next open,fresh + ≥6 panels,0.5,1.5,20,1492,0.752,0.004,0.02,703,0.738,-0.023
next open,fresh + ≥6 panels,0.5,2.0,5,1492,0.751,0.019,0.11,703,0.743,-0.011
next open,fresh + ≥6 panels,0.5,2.0,10,1492,0.801,0.028,0.16,703,0.795,0.004
next open,fresh + ≥6 panels,0.5,2.0,20,1492,0.81,0.024,0.14,703,0.801,0.003
next open,fresh + ≥6 panels,0.5,3.0,5,1492,0.766,0.031,0.18,703,0.761,-0.003
next open,fresh + ≥6 panels,0.5,3.0,10,1492,0.831,0.037,0.21,703,0.828,0.011
next open,fresh + ≥6 panels,0.5,3.0,20,1492,0.858,0.033,0.18,703,0.855,0.016
next open,fresh + ≥6 panels,0.5,4.0,5,1492,0.767,0.022,0.13,703,0.761,-0.022
next open,fresh + ≥6 panels,0.5,4.0,10,1492,0.833,0.027,0.15,703,0.829,-0.007
next open,fresh + ≥6 panels,0.5,4.0,20,1492,0.873,0.034,0.19,703,0.873,0.03
next open,fresh + ≥6 panels,1.0,1.0,5,1492,0.511,0.024,0.14,703,0.499,-0.003
next open,fresh + ≥6 panels,1.0,1.0,10,1492,0.511,0.023,0.13,703,0.494,-0.009
next open,fresh + ≥6 panels,1.0,1.0,20,1492,0.513,0.026,0.15,703,0.498,-0.003
next open,fresh + ≥6 panels,1.0,1.5,5,1492,0.584,0.057,0.32,703,0.57,0.014
next open,fresh + ≥6 panels,1.0,1.5,10,1492,0.611,0.047,0.26,703,0.593,0.003
next open,fresh + ≥6 panels,1.0,1.5,20,1492,0.619,0.05,0.28,703,0.602,0.008
next open,fresh + ≥6 panels,1.0,2.0,5,1492,0.611,0.063,0.35,703,0.596,0.007
next open,fresh + ≥6 panels,1.0,2.0,10,1492,0.666,0.069,0.39,703,0.643,0.002
next open,fresh + ≥6 panels,1.0,2.0,20,1492,0.688,0.074,0.41,703,0.667,0.009
next open,fresh + ≥6 panels,1.0,3.0,5,1492,0.624,0.07,0.39,703,0.613,0.004
next open,fresh + ≥6 panels,1.0,3.0,10,1492,0.7,0.073,0.41,703,0.681,-0.001
next open,fresh + ≥6 panels,1.0,3.0,20,1492,0.753,0.095,0.53,703,0.738,0.018
next open,fresh + ≥6 panels,1.0,4.0,5,1492,0.625,0.058,0.33,703,0.613,-0.021
next open,fresh + ≥6 panels,1.0,4.0,10,1492,0.702,0.056,0.32,703,0.684,-0.026
next open,fresh + ≥6 panels,1.0,4.0,20,1492,0.772,0.102,0.57,703,0.761,0.053
next open,fresh + ≥6 panels,1.5,1.0,5,1492,0.456,0.059,0.33,703,0.437,0.013
next open,fresh + ≥6 panels,1.5,1.0,10,1492,0.434,0.07,0.39,703,0.413,0.019
next open,fresh + ≥6 panels,1.5,1.0,20,1492,0.433,0.082,0.46,703,0.414,0.033
next open,fresh + ≥6 panels,1.5,1.5,5,1492,0.53,0.103,0.58,703,0.508,0.046
next open,fresh + ≥6 panels,1.5,1.5,10,1492,0.537,0.111,0.63,703,0.516,0.051
next open,fresh + ≥6 panels,1.5,1.5,20,1492,0.544,0.134,0.75,703,0.526,0.08
next open,fresh + ≥6 panels,1.5,2.0,5,1492,0.553,0.104,0.59,703,0.529,0.029
next open,fresh + ≥6 panels,1.5,2.0,10,1492,0.588,0.131,0.74,703,0.56,0.038
next open,fresh + ≥6 panels,1.5,2.0,20,1492,0.614,0.161,0.9,703,0.586,0.066
next open,fresh + ≥6 panels,1.5,3.0,5,1492,0.565,0.108,0.61,703,0.545,0.021
next open,fresh + ≥6 panels,1.5,3.0,10,1492,0.624,0.135,0.76,703,0.6,0.032
next open,fresh + ≥6 panels,1.5,3.0,20,1492,0.69,0.21,1.18,703,0.673,0.114
next open,fresh + ≥6 panels,1.5,4.0,5,1492,0.566,0.096,0.54,703,0.545,-0.006
next open,fresh + ≥6 panels,1.5,4.0,10,1492,0.627,0.119,0.67,703,0.605,0.006
next open,fresh + ≥6 panels,1.5,4.0,20,1492,0.708,0.214,1.2,703,0.694,0.148
next open,fresh + ≥6 panels,2.0,1.0,5,1492,0.434,0.078,0.44,703,0.413,0.024
next open,fresh + ≥6 panels,2.0,1.0,10,1492,0.387,0.098,0.55,703,0.366,0.043
next open,fresh + ≥6 panels,2.0,1.0,20,1492,0.376,0.121,0.68,703,0.36,0.067
next open,fresh + ≥6 panels,2.0,1.5,5,1492,0.506,0.122,0.69,703,0.482,0.059
next open,fresh + ≥6 panels,2.0,1.5,10,1492,0.489,0.144,0.81,703,0.465,0.069
next open,fresh + ≥6 panels,2.0,1.5,20,1492,0.483,0.184,1.03,703,0.462,0.109
next open,fresh + ≥6 panels,2.0,2.0,5,1492,0.527,0.122,0.68,703,0.504,0.046
next open,fresh + ≥6 panels,2.0,2.0,10,1492,0.539,0.167,0.94,703,0.508,0.064
next open,fresh + ≥6 panels,2.0,2.0,20,1492,0.552,0.215,1.21,703,0.521,0.097
next open,fresh + ≥6 panels,2.0,3.0,5,1492,0.54,0.127,0.71,703,0.519,0.039
next open,fresh + ≥6 panels,2.0,3.0,10,1492,0.576,0.175,0.99,703,0.549,0.062
next open,fresh + ≥6 panels,2.0,3.0,20,1492,0.631,0.283,1.59,703,0.613,0.179
next open,fresh + ≥6 panels,2.0,4.0,5,1492,0.54,0.112,0.63,703,0.519,0.013
next open,fresh + ≥6 panels,2.0,4.0,10,1492,0.579,0.158,0.89,703,0.553,0.038
next open,fresh + ≥6 panels,2.0,4.0,20,1492,0.649,0.29,1.63,703,0.636,0.222
next open,fresh + ≥6 panels,3.0,1.0,5,1492,0.422,0.114,0.64,703,0.397,0.067
next open,fresh + ≥6 panels,3.0,1.0,10,1492,0.355,0.173,0.97,703,0.333,0.138
next open,fresh + ≥6 panels,3.0,1.0,20,1492,0.316,0.212,1.19,703,0.307,0.166
next open,fresh + ≥6 panels,3.0,1.5,5,1492,0.494,0.159,0.89,703,0.467,0.106
next open,fresh + ≥6 panels,3.0,1.5,10,1492,0.453,0.233,1.31,703,0.431,0.189
next open,fresh + ≥6 panels,3.0,1.5,20,1492,0.418,0.302,1.7,703,0.407,0.246
next open,fresh + ≥6 panels,3.0,2.0,5,1492,0.515,0.161,0.91,703,0.489,0.096
next open,fresh + ≥6 panels,3.0,2.0,10,1492,0.504,0.269,1.51,703,0.475,0.191
next open,fresh + ≥6 panels,3.0,2.0,20,1492,0.487,0.36,2.03,703,0.468,0.281
next open,fresh + ≥6 panels,3.0,3.0,5,1492,0.529,0.172,0.97,703,0.508,0.098
next open,fresh + ≥6 panels,3.0,3.0,10,1492,0.541,0.277,1.56,703,0.516,0.193
next open,fresh + ≥6 panels,3.0,3.0,20,1492,0.566,0.454,2.55,703,0.56,0.411
next open,fresh + ≥6 panels,3.0,4.0,5,1492,0.529,0.157,0.88,703,0.508,0.073
next open,fresh + ≥6 panels,3.0,4.0,10,1492,0.544,0.256,1.44,703,0.521,0.164
next open,fresh + ≥6 panels,3.0,4.0,20,1492,0.587,0.464,2.61,703,0.586,0.46
next open,fresh + ≥6 panels,half@1,1.5,20,1492,0.575,0.17,0.96,703,0.562,0.108
next open,ATR ≥ 5 %,0.5,1.0,5,1662,0.634,-0.043,-0.24,903,0.616,-0.07
next open,ATR ≥ 5 %,0.5,1.0,10,1662,0.637,-0.043,-0.24,903,0.619,-0.07
next open,ATR ≥ 5 %,0.5,1.0,20,1662,0.638,-0.042,-0.24,903,0.621,-0.068
next open,ATR ≥ 5 %,0.5,1.5,5,1662,0.727,0.007,0.04,903,0.715,-0.013
next open,ATR ≥ 5 %,0.5,1.5,10,1662,0.747,0.002,0.01,903,0.741,-0.014
next open,ATR ≥ 5 %,0.5,1.5,20,1662,0.75,0.002,0.01,903,0.745,-0.009
next open,ATR ≥ 5 %,0.5,2.0,5,1662,0.755,0.028,0.16,903,0.754,0.025
next open,ATR ≥ 5 %,0.5,2.0,10,1662,0.799,0.029,0.16,903,0.804,0.036
next open,ATR ≥ 5 %,0.5,2.0,20,1662,0.808,0.025,0.14,903,0.814,0.036
next open,ATR ≥ 5 %,0.5,3.0,5,1662,0.766,0.038,0.22,903,0.771,0.051
next open,ATR ≥ 5 %,0.5,3.0,10,1662,0.833,0.074,0.42,903,0.848,0.115
next open,ATR ≥ 5 %,0.5,3.0,20,1662,0.868,0.078,0.44,903,0.887,0.134
next open,ATR ≥ 5 %,0.5,4.0,5,1662,0.767,0.038,0.21,903,0.771,0.044
next open,ATR ≥ 5 %,0.5,4.0,10,1662,0.837,0.078,0.44,903,0.848,0.105
next open,ATR ≥ 5 %,0.5,4.0,20,1662,0.882,0.087,0.49,903,0.895,0.121
next open,ATR ≥ 5 %,1.0,1.0,5,1662,0.496,-0.002,-0.01,903,0.486,-0.026
next open,ATR ≥ 5 %,1.0,1.0,10,1662,0.5,0.0,0.0,903,0.488,-0.022
next open,ATR ≥ 5 %,1.0,1.0,20,1662,0.501,0.001,0.01,903,0.491,-0.019
next open,ATR ≥ 5 %,1.0,1.5,5,1662,0.578,0.039,0.22,903,0.569,0.015
next open,ATR ≥ 5 %,1.0,1.5,10,1662,0.603,0.024,0.13,903,0.591,-0.005
next open,ATR ≥ 5 %,1.0,1.5,20,1662,0.606,0.021,0.12,903,0.596,-0.007
next open,ATR ≥ 5 %,1.0,2.0,5,1662,0.605,0.055,0.31,903,0.601,0.039
next open,ATR ≥ 5 %,1.0,2.0,10,1662,0.658,0.051,0.29,903,0.65,0.031
next open,ATR ≥ 5 %,1.0,2.0,20,1662,0.678,0.047,0.27,903,0.676,0.036
next open,ATR ≥ 5 %,1.0,3.0,5,1662,0.615,0.064,0.36,903,0.616,0.063
next open,ATR ≥ 5 %,1.0,3.0,10,1662,0.694,0.089,0.5,903,0.698,0.101
next open,ATR ≥ 5 %,1.0,3.0,20,1662,0.75,0.094,0.53,903,0.763,0.138
next open,ATR ≥ 5 %,1.0,4.0,5,1662,0.616,0.063,0.36,903,0.616,0.056
next open,ATR ≥ 5 %,1.0,4.0,10,1662,0.699,0.101,0.57,903,0.7,0.101
next open,ATR ≥ 5 %,1.0,4.0,20,1662,0.768,0.116,0.65,903,0.775,0.142
next open,ATR ≥ 5 %,1.5,1.0,5,1662,0.443,0.062,0.35,903,0.433,0.034
next open,ATR ≥ 5 %,1.5,1.0,10,1662,0.43,0.07,0.39,903,0.42,0.045
next open,ATR ≥ 5 %,1.5,1.0,20,1662,0.429,0.072,0.41,903,0.421,0.05
next open,ATR ≥ 5 %,1.5,1.5,5,1662,0.526,0.119,0.67,903,0.515,0.096
next open,ATR ≥ 5 %,1.5,1.5,10,1662,0.531,0.109,0.61,903,0.525,0.087
next open,ATR ≥ 5 %,1.5,1.5,20,1662,0.532,0.104,0.58,903,0.529,0.089
next open,ATR ≥ 5 %,1.5,2.0,5,1662,0.548,0.126,0.71,903,0.542,0.11
next open,ATR ≥ 5 %,1.5,2.0,10,1662,0.584,0.144,0.81,903,0.584,0.137
next open,ATR ≥ 5 %,1.5,2.0,20,1662,0.605,0.136,0.76,903,0.611,0.153
next open,ATR ≥ 5 %,1.5,3.0,5,1662,0.557,0.133,0.75,903,0.555,0.134
next open,ATR ≥ 5 %,1.5,3.0,10,1662,0.62,0.189,1.06,903,0.629,0.214
next open,ATR ≥ 5 %,1.5,3.0,20,1662,0.681,0.201,1.13,903,0.705,0.292
next open,ATR ≥ 5 %,1.5,4.0,5,1662,0.558,0.133,0.75,903,0.555,0.127
next open,ATR ≥ 5 %,1.5,4.0,10,1662,0.626,0.208,1.17,903,0.632,0.221
next open,ATR ≥ 5 %,1.5,4.0,20,1662,0.697,0.221,1.25,903,0.717,0.302
next open,ATR ≥ 5 %,2.0,1.0,5,1662,0.416,0.092,0.51,903,0.403,0.058
next open,ATR ≥ 5 %,2.0,1.0,10,1662,0.383,0.102,0.58,903,0.371,0.072
next open,ATR ≥ 5 %,2.0,1.0,20,1662,0.373,0.111,0.63,903,0.364,0.08
next open,ATR ≥ 5 %,2.0,1.5,5,1662,0.496,0.149,0.84,903,0.482,0.12
next open,ATR ≥ 5 %,2.0,1.5,10,1662,0.482,0.148,0.83,903,0.474,0.115
next open,ATR ≥ 5 %,2.0,1.5,20,1662,0.471,0.149,0.84,903,0.464,0.114
next open,ATR ≥ 5 %,2.0,2.0,5,1662,0.519,0.159,0.89,903,0.508,0.139
next open,ATR ≥ 5 %,2.0,2.0,10,1662,0.535,0.189,1.06,903,0.535,0.184
next open,ATR ≥ 5 %,2.0,2.0,20,1662,0.538,0.175,0.99,903,0.54,0.183
next open,ATR ≥ 5 %,2.0,3.0,5,1662,0.528,0.168,0.95,903,0.522,0.166
next open,ATR ≥ 5 %,2.0,3.0,10,1662,0.573,0.245,1.38,903,0.581,0.272
next open,ATR ≥ 5 %,2.0,3.0,20,1662,0.619,0.265,1.49,903,0.64,0.36
next open,ATR ≥ 5 %,2.0,4.0,5,1662,0.528,0.168,0.95,903,0.522,0.159
next open,ATR ≥ 5 %,2.0,4.0,10,1662,0.578,0.264,1.48,903,0.585,0.279
next open,ATR ≥ 5 %,2.0,4.0,20,1662,0.637,0.293,1.65,903,0.653,0.384
next open,ATR ≥ 5 %,3.0,1.0,5,1662,0.401,0.127,0.71,903,0.386,0.092
next open,ATR ≥ 5 %,3.0,1.0,10,1662,0.346,0.173,0.98,903,0.333,0.152
next open,ATR ≥ 5 %,3.0,1.0,20,1662,0.306,0.177,1.0,903,0.307,0.173
next open,ATR ≥ 5 %,3.0,1.5,5,1662,0.483,0.189,1.06,903,0.467,0.168
next open,ATR ≥ 5 %,3.0,1.5,10,1662,0.443,0.24,1.35,903,0.435,0.228
next open,ATR ≥ 5 %,3.0,1.5,20,1662,0.398,0.239,1.34,903,0.402,0.241
next open,ATR ≥ 5 %,3.0,2.0,5,1662,0.505,0.202,1.14,903,0.494,0.188
next open,ATR ≥ 5 %,3.0,2.0,10,1662,0.497,0.286,1.61,903,0.494,0.296
next open,ATR ≥ 5 %,3.0,2.0,20,1662,0.462,0.274,1.54,903,0.47,0.304
next open,ATR ≥ 5 %,3.0,3.0,5,1662,0.516,0.217,1.22,903,0.509,0.221
next open,ATR ≥ 5 %,3.0,3.0,10,1662,0.534,0.348,1.96,903,0.539,0.392
next open,ATR ≥ 5 %,3.0,3.0,20,1662,0.54,0.393,2.21,903,0.566,0.521
