tier,f,N,policy,sample,final,cagr,max_dd,taken,signalled,per_week,avg_open,skip_no_slot,skip_held,skip_no_headroom,skip_atr_zero,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y2026
G,0.005,10,quality,oos,259686.1915348377,0.42202263789091177,0.26627666170785524,177,8962,1.2515151515151517,8.37885462555066,4684,187,3914,0,,,,,,,,,0.40331841384918365,0.28594801773472667,0.43902791930398255
G,0.005,10,atr,full,1146940.4556253587,0.276431807936907,0.3759772726764894,658,26594,1.2615721720076691,6.52824184566428,15664,557,9715,0,0.0,0.25110019255371596,0.1048186214690856,0.08995973067603535,0.7998368546449532,0.08252534524184463,-0.08298258755892018,0.023433698121819724,1.0946810578050772,0.24970569722742053,0.590424944049168
G,0.005,10,atr,oos,272723.0478105565,0.4479546241573471,0.30102050144693016,197,8962,1.3929292929292931,8.831130690161528,7128,212,1425,0,,,,,,,,,0.44306126052639727,0.1882939749279735,0.5904249440491682
G,0.005,10,random,full,1024154.8274135056,0.26205439088172167,0.28708937458512074,555,26594,1.0640920295809368,5.810262529832936,6003,504,19532,0,0.0,0.5987154555852054,-0.12317145609470403,0.13363492905684127,0.7585328791283783,0.3449205534334483,-0.08951745394886212,0.38936875208347255,0.5558572872214533,0.037356510553285815,0.33466562301446157
G,0.005,10,random,oos,281234.9976976563,0.46446628976975046,0.24293611243678326,179,8962,1.2656565656565657,8.111600587371512,3713,210,4860,0,,,,,,,,,0.5386228209155024,0.5329653442494693,0.19235302564819268
G,0.01,10,quality,full,1624795.9656203557,0.3216900740234663,0.4874449981011517,424,26594,0.8129279649411121,4.66945107398568,1147,406,24617,0,0.0,0.23791755124277314,0.12561947285423836,0.4240515771118045,0.8119272799634498,0.1252495257486732,-0.08000097510894022,0.06749142078817805,1.2280032619475456,0.5176206804573547,0.20939835583777278
G,0.01,10,quality,oos,326491.44047597604,0.5473464057368014,0.4774558981375163,130,8962,0.9191919191919192,6.28193832599119,596,163,8073,0,,,,,,,,,0.9672632336193858,0.3722712058073836,0.20939835583777233
G,0.01,10,atr,full,1934358.203759049,0.3449512622973283,0.5464580388662694,482,26594,0.9241303752396604,5.002784407319013,3633,446,22033,0,0.0,0.2820695086169449,0.16468152054923513,0.07947118220506044,1.5188282505418593,0.5856093692317323,-0.12556860855817453,0.26364388884514467,1.2848402385049429,0.25663530003297663,-0.0528979070620198
G,0.01,10,atr,oos,401719.98859100114,0.6703641043658886,0.524084632609181,141,8962,0.9969696969696971,6.657856093979442,1357,197,7267,0,,,,,,,,,2.444164917904801,0.231523508922453,-0.052897907062020355
G,0.01,10,random,full,276563.98255474266,0.10712769041213921,0.5480443858573588,444,26594,0.8512736236647495,4.338504375497216,563,398,25189,0,0.0,0.03573946939828043,0.3045228221997194,0.21422935932278797,0.9868040711271895,-0.3720756474810363,-0.0642950535437492,0.2876641632087804,0.6812677480904514,-0.31236988639700325,-0.029943541601154533
G,0.01,10,random,oos,190135.30952437237,0.2675270943000696,0.4857885496857086,127,8962,0.8979797979797981,6.014684287812041,388,163,8284,0,,,,,,,,,0.7844627298680076,-0.005478139833093754,0.07137364950866676
G,0.005,20,quality,full,5110266.276253865,0.48222639847522153,0.4564413363797385,627,26594,1.2021364009860314,7.033015115354018,645,652,24670,0,0.0,0.655709465759247,-0.02260177874755709,0.23821304736941085,1.2094932488808072,0.45583292697960553,-0.09062344187915305,0.34833350007288133,4.213436983477832,0.00551451366696587,0.2334873778304276
G,0.005,20,quality,oos,282046.1420424924,0.46602321728773854,0.3891049359529757,200,8962,1.4141414141414144,9.58590308370044,100,241,8421,0,,,,,,,,,1.0345297696091844,0.12388378382760923,0.2334873778304274
G,0.005,20,atr,full,3715979.404890149,0.43572689422682354,0.4963275546047038,769,26594,1.4743905779238564,8.226332537788386,1386,745,23694,0,0.0,0.25104415022978865,0.043225807628193724,0.08995973067603469,1.703998135576533,0.30952768120444385,-0.10433552319150119,0.375690456361524,2.9899376143313927,0.21052644253793162,0.2396079580030528
G,0.005,20,atr,oos,613753.8444596276,0.9530893505385478,0.4520187679504516,244,8962,1.7252525252525255,11.713656387665198,449,308,7961,0,,,,,,,,,2.7769903096912296,0.3108832047538834,0.23960795800305323
G,0.005,20,random,full,2118376.4193373714,0.35723419094704245,0.5150734579346072,591,26594,1.133114215283484,6.604216388225935,566,623,24814,0,0.0,0.5987154555852054,-0.12317145609470403,0.13363492905684127,1.1433037584399477,0.661750328869577,-0.043520536383007236,0.3578627729005017,1.4556755277218536,-0.0687213389694512,0.2601214298068073
G,0.005,20,random,oos,412128.87879473297,0.686203241450484,0.4324961798014133,201,8962,1.4212121212121214,9.674008810572687,184,261,8316,0,,,,,,,,,1.3383995719754145,0.4130722920965899,0.2472397513808302
