suite,signal,exit,symbol,tf,net_profit_pct,profit_factor,win_rate,max_dd_pct,trades,avg_trade_pct,bh_pct,alpha_pct,tpw,bear_pnl_pct,bull_pnl_pct,short_pnl_pct,exposure_pct,robustness,overfit_risk,raw
homily,Dragon hole C,Chandelier 3 ATR,NASDAQ:NVDA,D,208.25,2.658,30.0,29.52,30.0,,4359.89,-4151.64,0.066,231.85,-23.6,0.0,33.52,0.9,0.84,"C | NVIDIA Corporation | 1D ‖ {'Total PnL': '+20,825.04USD+208.25%', 'Max drawdown': '4,182.35USD29.52%', 'Profitable trades': '30.00%9/30', 'Profit factor': '2.658', 'Total trades': '30'}"
homily,Dragon hole C,Chandelier 3 ATR,NASDAQ:INTC,D,89.01,1.715,33.33,86.12,33.0,,131.8,-42.79,0.0726,116.21,-27.2,0.0,19.22,0.09,0.86,"C | Intel Corporation | 1D ‖ {'Total PnL': '+8,901.20USD+89.01%', 'Max drawdown': '8,611.85USD86.12%', 'Profitable trades': '33.33%11/33', 'Profit factor': '1.715', 'Total trades': '33'}"
homily,Dragon hole C,Chandelier 3 ATR,NASDAQ:IREN,D,237.62,2.193,26.09,33.21,23.0,,90.92,146.7,0.0912,-6.81,244.43,0.0,23.0,1.07,0.78,"C | IREN LIMITED | 1D ‖ {'Total PnL': '+23,762.03USD+237.62%', 'Max drawdown': '7,716.79USD33.21%', 'Profitable trades': '26.09%6/23', 'Profit factor': '2.193', 'Total trades': '23'}"
homily,Dragon hole C,Chandelier 3 ATR,NASDAQ:ONDS,D,46.9,1.292,38.89,154.2,18.0,,-45.26,92.16,0.0437,-15.97,62.87,0.0,21.24,0.01,0.84,"C | Ondas Inc | 1D ‖ {'Total PnL': '+4,689.66USD+46.90%', 'Max drawdown': '15,419.83USD154.20%', 'Profitable trades': '38.89%7/18', 'Profit factor': '1.292', 'Total trades': '18'}"
homily,Dragon hole C,Chandelier 3 ATR,NASDAQ:SLNH,D,298.93,2.036,32.35,49.31,34.0,,-94.96,393.89,0.0748,50.66,248.27,0.0,15.35,0.77,0.78,"C | Soluna Holdings, Inc. | 1D ‖ {'Total PnL': '+29,892.97USD+298.93%', 'Max drawdown': '11,227.67USD49.31%', 'Profitable trades': '32.35%11/34', 'Profit factor': '2.036', 'Total trades': '34'}"
homily,Dragon hole C,Chandelier 3 ATR,NASDAQ:CLSK,D,428.77,2.373,42.11,28.52,38.0,,-8.99,437.77,0.0848,37.02,391.75,0.0,17.89,1.87,0.73,"C | CleanSpark, Inc. | 1D ‖ {'Total PnL': '+42,877.37USD+428.77%', 'Max drawdown': '12,161.52USD28.52%', 'Profitable trades': '42.11%16/38', 'Profit factor': '2.373', 'Total trades': '38'}"
homily,Dragon hole D,Hole broke down,NASDAQ:MRNA,D,329.03,3.42,50.0,42.76,16.0,,728.17,-542.24,0.0394,78.52,107.46,0.0,29.51,0.69,0.77,"C | Moderna, Inc. | 1D ‖ {'Total PnL': '+32,903.37USD+329.03%', 'Max drawdown': '4,276.44USD42.76%', 'Profitable trades': '50.00%8/16', 'Profit factor': '3.42', 'Total trades': '16'}"
homily,Dragon hole D,Hole broke down,NASDAQ:PLTR,D,88.52,1.764,28.57,81.52,14.0,,1769.89,-1681.38,0.045,3.27,85.25,0.0,27.15,0.02,0.89,"C | Palantir Technologies Inc. | 1D ‖ {'Total PnL': '+8,851.54USD+88.52%', 'Max drawdown': '8,151.78USD81.52%', 'Profitable trades': '28.57%4/14', 'Profit factor': '1.764', 'Total trades': '14'}"
homily,Dragon hole D,Hole broke down,NASDAQ:NVDA,D,313.09,5.01,50.0,19.68,18.0,,4359.89,-4047.14,0.0396,227.58,85.23,0.0,43.93,1.36,0.76,"C | NVIDIA Corporation | 1D ‖ {'Total PnL': '+31,308.63USD+313.09%', 'Max drawdown': '3,265.44USD19.68%', 'Profitable trades': '50.00%9/18', 'Profit factor': '5.01', 'Total trades': '18'}"
homily,Dragon hole D,Hole broke down,NASDAQ:INTC,D,126.79,2.033,36.84,98.34,19.0,,131.8,-5.01,0.0418,-15.26,142.05,0.0,30.23,0.03,0.86,"C | Intel Corporation | 1D ‖ {'Total PnL': '+12,679.28USD+126.79%', 'Max drawdown': '9,833.58USD98.34%', 'Profitable trades': '36.84%7/19', 'Profit factor': '2.033', 'Total trades': '19'}"
